YYYY,MM,DD,HR,Temperature,Humidity,Precipitation,Pressure,Windspeed
2018,5,11,15,11.66,6.65,0.01,99.23,7.16
2018,5,11,16,11.33,6.77,0.01,99.23,6.64
2018,5,11,17,10.9,6.84,0.01,99.22,6.2
2018,5,11,18,10.33,6.84,0.11,99.2,5.93
2018,5,11,19,9.69,6.77,0.2,99.2,5.59
2018,5,11,20,9.26,6.71,0.33,99.21,5.65
2018,5,11,21,9.01,6.77,0.61,99.21,5.76
2018,5,11,22,8.82,6.84,0.78,99.21,5.58
2018,5,11,23,8.47,6.71,0.5,99.23,4.35
2018,5,12,0,7.98,6.53,0.26,99.27,3.03
2018,5,12,1,7.38,6.29,0.05,99.31,2.14
2018,5,12,2,6.91,6.04,0.03,99.35,1.95
2018,5,12,3,6.48,5.74,0.02,99.4,1.99
2018,5,12,4,5.89,5.43,0.01,99.45,2.06
2018,5,12,5,6.72,5.62,0,99.49,1.94
2018,5,12,6,7.76,5.62,0,99.52,2.03
2018,5,12,7,8.94,5.62,0,99.55,1.16
2018,5,12,8,10.49,5.19,0,99.57,0.28
2018,5,12,9,11.9,4.88,0,99.58,0.41
2018,5,12,10,12.91,4.88,0,99.58,0.95
2018,5,12,11,13.51,5.07,0,99.59,1.43
2018,5,12,12,13.83,5.31,0,99.59,1.79
2018,5,12,13,14.04,5.49,0.01,99.57,2.07
2018,5,12,14,14.08,5.74,0.01,99.56,2.31
2018,5,12,15,13.88,5.86,0.01,99.56,2.27
2018,5,12,16,12.76,6.16,0.02,99.53,2.12
2018,5,12,17,11.63,6.47,0.1,99.54,2.6
2018,5,12,18,10.37,6.9,0.13,99.53,2.62
2018,5,12,19,9.43,6.96,0.11,99.54,2.27
2018,5,12,20,8.81,6.84,0.11,99.55,1.91
2018,5,12,21,8.44,6.77,0.06,99.55,1.72
2018,5,12,22,8.1,6.71,0.04,99.54,1.56
2018,5,12,23,8.1,6.65,0.04,99.54,1.58
2018,5,13,0,8.08,6.65,0.12,99.54,1.55
2018,5,13,1,7.94,6.59,0.35,99.53,1.57
2018,5,13,2,7.87,6.53,0.78,99.49,1.6
2018,5,13,3,7.78,6.53,1.48,99.48,1.67
2018,5,13,4,7.79,6.53,1.43,99.5,1.61
2018,5,13,5,8.25,6.65,0.76,99.49,1.41
2018,5,13,6,8.62,6.71,0.59,99.51,1.52
2018,5,13,7,9.11,6.77,0.35,99.53,1.07
2018,5,13,8,9.83,6.71,0.22,99.55,0.68
2018,5,13,9,10.62,6.71,0.21,99.57,0.79
2018,5,13,10,11.39,6.71,0.17,99.58,1.27
2018,5,13,11,12.11,6.77,0.11,99.59,1.84
2018,5,13,12,12.84,6.77,0.03,99.6,2.37
2018,5,13,13,13.63,6.77,0.01,99.62,2.98
2018,5,13,14,14.11,6.71,0,99.64,3.52
2018,5,13,15,14.29,6.59,0,99.66,4.03
2018,5,13,16,14.26,6.47,0,99.69,4.48
2018,5,13,17,13.77,6.47,0,99.74,4.56
2018,5,13,18,12.68,6.77,0,99.8,3.86
2018,5,13,19,10.65,6.65,0,99.86,3.34
2018,5,13,20,8.74,6.1,0,99.93,3.4
2018,5,13,21,7.9,5.86,0,99.98,3.33
2018,5,13,22,7.28,5.68,0,100.03,3.09
2018,5,13,23,6.9,5.62,0,100.09,2.82
2018,5,14,0,6.65,5.55,0,100.14,2.45
2018,5,14,1,6.59,5.49,0,100.17,1.98
2018,5,14,2,6.62,5.49,0,100.22,1.59
2018,5,14,3,6.74,5.43,0,100.25,1.25
2018,5,14,4,6.8,5.37,0,100.28,0.99
2018,5,14,5,7.42,5.62,0,100.31,0.84
2018,5,14,6,8.48,5.86,0,100.36,0.85
2018,5,14,7,10.55,5.92,0,100.41,0.37
2018,5,14,8,12.83,5.98,0,100.44,1.16
2018,5,14,9,13.77,6.23,0,100.45,1.63
2018,5,14,10,14.45,6.47,0,100.48,1.9
2018,5,14,11,15.05,6.65,0,100.49,2.08
2018,5,14,12,15.58,6.84,0,100.5,2.12
2018,5,14,13,15.98,6.96,0,100.5,2.13
2018,5,14,14,16.12,7.08,0,100.49,2.2
2018,5,14,15,16,7.08,0,100.46,2.24
2018,5,14,16,15.72,7.14,0,100.46,2.18
2018,5,14,17,15.07,7.26,0,100.45,2.13
2018,5,14,18,13.74,7.45,0,100.47,2.15
2018,5,14,19,11.82,7.45,0,100.49,1.96
2018,5,14,20,10.05,6.9,0,100.53,2.01
2018,5,14,21,9.12,6.59,0,100.56,1.97
2018,5,14,22,8.5,6.41,0,100.57,1.78
2018,5,14,23,8.09,6.29,0,100.55,1.69
2018,5,15,0,7.88,6.16,0,100.53,1.61
2018,5,15,1,7.83,6.04,0,100.49,1.31
2018,5,15,2,7.98,5.98,0,100.48,0.91
2018,5,15,3,8.11,6.04,0,100.46,0.82
2018,5,15,4,8.13,6.04,0,100.43,0.85
2018,5,15,5,8.76,6.35,0,100.41,0.87
2018,5,15,6,9.65,6.59,0,100.4,1.17
2018,5,15,7,10.35,6.84,0,100.4,1.58
2018,5,15,8,11.51,7.2,0,100.4,2.29
2018,5,15,9,13.01,7.57,0,100.4,3.43
2018,5,15,10,13.97,7.87,0.02,100.39,4.03
2018,5,15,11,14.75,8.06,0.06,100.38,4.38
2018,5,15,12,15.27,8.18,0.12,100.36,4.59
2018,5,15,13,15.16,8.3,0.25,100.33,4.68
2018,5,15,14,14.8,8.48,0.42,100.32,4.84
2018,5,15,15,14.26,8.61,0.55,100.31,4.86
2018,5,15,16,13.6,8.54,0.65,100.33,4.81
2018,5,15,17,12.86,8.24,0.6,100.37,4.91
2018,5,15,18,11.94,7.69,0.24,100.45,5.26
2018,5,15,19,10.74,6.9,0.02,100.56,5.48
2018,5,15,20,9.41,6.1,0,100.68,5.73
2018,5,15,21,8.34,5.68,0,100.77,5.22
2018,5,15,22,7.56,5.49,0,100.86,4.37
2018,5,15,23,6.9,5.37,0,100.92,3.77
2018,5,16,0,6.3,5.31,0,100.98,3.28
2018,5,16,1,5.73,5.13,0,101.03,3.01
2018,5,16,2,5.08,4.94,0,101.08,3.02
2018,5,16,3,4.46,4.76,0,101.13,3.19
2018,5,16,4,4.07,4.64,0,101.18,3.34
2018,5,16,5,5.49,4.82,0,101.23,3.78
2018,5,16,6,6.87,4.88,0,101.27,4.73
2018,5,16,7,8.24,4.82,0,101.31,5.51
2018,5,16,8,9.42,4.82,0,101.34,5.03
2018,5,16,9,10.51,4.94,0,101.36,4.32
2018,5,16,10,11.45,5.13,0,101.36,3.51
2018,5,16,11,12.25,5.31,0,101.35,2.93
2018,5,16,12,12.87,5.37,0,101.34,2.55
2018,5,16,13,13.34,5.43,0,101.32,2.25
2018,5,16,14,13.61,5.49,0,101.31,2.06
2018,5,16,15,13.54,5.49,0,101.3,2.11
2018,5,16,16,13.11,5.55,0,101.29,2.43
2018,5,16,17,12.26,5.62,0,101.3,2.98
2018,5,16,18,11.03,5.8,0,101.31,3.53
2018,5,16,19,9.43,5.98,0,101.34,3.56
2018,5,16,20,7.35,5.8,0,101.38,2.95
2018,5,16,21,6.27,5.55,0,101.4,2.52
2018,5,16,22,5.94,5.49,0,101.41,1.91
2018,5,16,23,5.92,5.31,0,101.39,1.25
2018,5,17,0,5.81,5.19,0,101.36,0.94
2018,5,17,1,5.26,5.07,0,101.34,0.96
2018,5,17,2,4.81,5,0,101.32,1.41
2018,5,17,3,4.48,4.94,0,101.31,1.66
2018,5,17,4,4.56,4.94,0,101.3,1.68
2018,5,17,5,5.46,5.13,0,101.3,1.6
2018,5,17,6,6.63,5.13,0,101.3,1.91
